År;Dalarnas län;Blekinge län;Gotlands län;Gävleborgs län;Hallands län;Jämtlands län;Jönköpings län;Kalmar län;Kronobergs län;Norrbottens län;Skåne län;Stockholms län;Södermanlands län;Uppsala län;Värmlands län;Västerbottens län;Västernorrlands län;Västmanlands län;Västra Götalands län;Örebro län;Östergötlands län;Sverigemedel;
2005;8,6;8,9;7,4;10,3;6,3;9,1;5,5;6,6;6,0;10,0;8,8;6,9;7,3;7,2;8,8;7,7;8,9;7,8;7,6;9,3;8,9;7,8;
2006;7,2;6,6;6,1;8,9;6,6;7,0;5,0;7,7;5,4;8,7;8,4;6,1;6,7;6,7;7,5;8,3;7,5;7,5;6,8;8,3;7,5;7,1;
2007;6,0;7,6;6,5;6,5;5,0;6,0;5,1;5,5;4,1;7,8;7,0;5,6;5,3;6,2;6,3;5,8;6,5;7,1;6,0;7,2;7,4;6,1;
2008;6,2;5,9;5,8;6,7;5,3;7,3;4,6;5,5;4,7;7,9;7,6;5,2;6,4;7,1;6,9;5,5;7,0;6,9;6,3;6,0;7,5;6,2;
2009;8,6;9,2;8,9;10,1;6,8;8,7;7,4;9,0;8,1;9,5;8,6;6,7;8,9;7,6;9,5;8,1;9,0;9,2;8,9;10,6;9,8;8,3;
2010;8,5;10,2;7,3;9,5;7,3;9,1;7,5;8,7;7,9;10,2;8,6;7,2;9,4;8,4;9,0;8,8;11,0;10,3;9,0;9,7;10,5;8,6;
2011;8,0;9,6;6,0;8,7;6,3;7,8;6,6;8,3;6,9;8,1;9,1;6,5;9,0;6,1;9,5;7,8;9,3;9,3;7,6;9,3;8,8;7,8;
2012;7,2;9,4;6,9;10,2;6,4;7,1;7,0;8,5;7,2;7,3;9,4;6,8;9,5;6,3;8,4;7,9;9,1;8,7;8,0;9,9;9,0;8,0;
2013;7,6;9,5;6,9;9,7;7,0;6,8;6,8;7,5;7,0;7,2;9,9;6,8;9,6;6,6;9,0;7,1;7,3;9,8;8,2;10,2;8,6;8,0;
2014;7,9;9,3;7,1;9,8;6,1;7,7;5,9;7,1;7,5;7,7;10,1;7,1;8,6;6,5;8,1;7,0;7,2;8,9;7,9;8,7;9,1;7,9;
2015;6,8;9,7;6,8;9,5;4,9;6,0;5,0;6,2;6,9;7,0;9,4;7,0;7,8;6,5;7,3;7,2;7,5;8,0;6,9;9,0;8,4;7,4;
