År;Region;Ålder;­ 8 veckor;9 ­ 11 veckor;12 veckor eller mer
2012;Stockholm;­19 år;965;222;100
2012;Stockholm;20­24 år;2051;373;156
2012;Stockholm;25­29 år;1769;256;119
2012;Stockholm;30­34 år;1453;218;117
2012;Stockholm;35­39 år;1144;188;113
2012;Stockholm;40+ år;601;92;73
2012;Uppsala;­19 år;138;30;8
2012;Uppsala;20­24 år;285;56;18
2012;Uppsala;25­29 år;245;48;8
2012;Uppsala;30­34 år;171;20;5
2012;Uppsala;35­39 år;115;19;7
2012;Uppsala;40+ år;78;18;­­
2012;Södermanland;­19 år;151;32;16
2012;Södermanland;20­24 år;267;42;17
2012;Södermanland;25­29 år;200;22;12
2012;Södermanland;30­34 år;153;19;9
2012;Södermanland;35­39 år;102;11;10
2012;Södermanland;40+ år;53;10;5
2012;Östergötland;­19 år;151;37;15
2012;Östergötland;20­24 år;340;61;25
2012;Östergötland;25­29 år;265;38;29
2012;Östergötland;30­34 år;238;24;14
2012;Östergötland;35­39 år;184;13;10
2012;Östergötland;40+ år;86;8;7
2012;Jönköping;­19 år;112;20;12
2012;Jönköping;20­24 år;197;41;20
2012;Jönköping;25­29 år;154;20;11
2012;Jönköping;30­34 år;109;16;13
2012;Jönköping;35­39 år;89;15;7
2012;Jönköping;40+ år;60;9;3
2012;Kronoberg;­19 år;56;22;6
2012;Kronoberg;20­24 år;95;22;6
2012;Kronoberg;25­29 år;80;14;8
2012;Kronoberg;30­34 år;61;18;7
2012;Kronoberg;35­39 år;52;8;6
2012;Kronoberg;40+ år;26;7;6
2012;Kalmar;­19 år;94;18;12
2012;Kalmar;20­24 år;176;25;11
2012;Kalmar;25­29 år;99;13;7
2012;Kalmar;30­34 år;68;17;6
2012;Kalmar;35­39 år;50;10;6
2012;Kalmar;40+ år;41;7;1
2012;Gotland;­19 år;32;8;2
2012;Gotland;20­24 år;76;9;5
2012;Gotland;25­29 år;26;1;3
2012;Gotland;30­34 år;29;2;­­
2012;Gotland;35­39 år;25;4;3
2012;Gotland;40+ år;15;­­;1
2012;Blekinge;­19 år;42;13;11
2012;Blekinge;20­24 år;88;20;13
2012;Blekinge;25­29 år;68;10;8
2012;Blekinge;30­34 år;46;10;3
2012;Blekinge;35­39 år;43;6;1
2012;Blekinge;40+ år;16;3;3
2012;Skåne;­19 år;369;140;63
2012;Skåne;20­24 år;924;220;95
2012;Skåne;25­29 år;769;165;93
