År;Läkemedel;Region;Kön;Ålder;Antal patienter;Antal recept
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;15­19;17973;35508
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;20­24;31042;63229
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;25­29;27305;64558
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;30­34;18256;42726
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;35­39;13200;32145
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;40­44;9458;24422
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;45­49;6123;16152
2012;Preventivmedel ­ korttidsverkande;Stockholms län;Kvinnor;15­49;123357;278740
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;15­19;3623;6554
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;20­24;7248;14831
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;25­29;4783;10851
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;30­34;2675;6208
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;35­39;2188;5701
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;40­44;1751;4915
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;45­49;1309;3642
2012;Preventivmedel ­ korttidsverkande;Uppsala län;Kvinnor;15­49;23577;52702
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;15­19;3589;7036
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;20­24;4130;7539
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;25­29;2426;5398
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;30­34;1814;4507
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;35­39;1715;4575
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;40­44;1627;4663
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;45­49;1187;3352
2012;Preventivmedel ­ korttidsverkande;Södermanlands län;Kvinnor;15­49;16488;37070
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;15­19;5344;12984
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;20­24;8534;19216
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;25­29;4979;11648
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;30­34;3250;8140
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;35­39;2924;7793
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;40­44;2488;7089
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;45­49;2025;5569
2012;Preventivmedel ­ korttidsverkande;Östergötlands län;Kvinnor;15­49;29544;72439
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;15­19;4085;8658
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;20­24;6109;12876
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;25­29;3578;8213
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;30­34;2380;5798
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;35­39;2128;5563
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;40­44;1889;5165
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;45­49;1463;3986
2012;Preventivmedel ­ korttidsverkande;Jönköpings län;Kvinnor;15­49;21632;50259
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;15­19;1914;2963
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;20­24;3279;6226
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;25­29;1893;4146
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;30­34;1345;3230
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;35­39;1142;2915
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;40­44;981;2686
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;45­49;811;2239
2012;Preventivmedel ­ korttidsverkande;Kronobergs län;Kvinnor;15­49;11365;24405
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;15­19;3134;7690
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;20­24;4217;9070
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;25­29;2220;5025
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;30­34;1473;3608
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;35­39;1343;3507
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;40­44;1221;3330
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;45­49;1001;2609
2012;Preventivmedel ­ korttidsverkande;Kalmar län;Kvinnor;15­49;14609;34839
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;15­19;674;1494
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;20­24;889;1791
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;25­29;440;985
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;30­34;311;760
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;35­39;253;643
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;40­44;236;637
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;45­49;169;408
2012;Preventivmedel ­ korttidsverkande;Gotlands län;Kvinnor;15­49;2972;6718
2012;Preventivmedel ­ korttidsverkande;Blekinge län;Kvinnor;15­19;2093;5038
2012;Preventivmedel ­ korttidsverkande;Blekinge län;Kvinnor;20­24;2438;5586
2012;Preventivmedel ­ korttidsverkande;Blekinge län;Kvinnor;25­29;1368;3267
2012;Preventivmedel ­ korttidsverkande;Blekinge län;Kvinnor;30­34;950;2368
2012;Preventivmedel ­ korttidsverkande;Blekinge län;Kvinnor;35­39;959;2559
2012;Preventivmedel ­ korttidsverkande;Blekinge län;Kvinnor;40­44;826;2341
